# GeoShield Emergency Service Centers Reference Dataset (India-wide OSM-Mapped)
# Source: OpenStreetMap contributors via Humanitarian OpenStreetMap Team (HOT) / Geofabrik (medical, police, fire) & Overpass API (police supplementation only)
# License: Open Data Commons Open Database License (ODbL) 1.0 (https://opendatacommons.org/licenses/odbl/)
# Attribution: (c) OpenStreetMap contributors
# Extraction Date: 2026-09-18T21:00:00Z
# Geographic Scope: India-wide sovereign territory across all 36 States and Union Territories
# Geometry Validation: Point-in-polygon validated against official Survey of India / CGAZ state boundaries
# Categories: MEDICAL (amenity=hospital), RESPONSE_UNIT (amenity=police), FIRE (amenity=fire_station)
# Filtering: Named facilities only; valid coordinates strictly within Indian territory; deduplicated by OSM element ID and 10m spatial proximity
# Coordinate Reference System: WGS84 (EPSG:4326) Decimal Degrees
source_id,name,center_type,latitude,longitude,city,state,phone_number
osm-way-1301683953,Infirmary,MEDICAL,8.62910346,77.03423772,Thiruvananthapuram,Kerala,
osm-node-7733154059,Sthira Ayurvedic Health Care Centre,MEDICAL,8.592158,77.036622,Thiruvananthapuram,Kerala,
osm-way-961018659,Family Health Centre Uzhamalakkal,MEDICAL,8.59075812,77.05785498000002,Thiruvananthapuram,Kerala,
osm-way-894450565,Rohini Hospital,MEDICAL,8.649999259999998,77.06626128,Thiruvananthapuram,Kerala,
osm-way-910881921,JR Homeo Hospital,MEDICAL,8.64499942,77.05697116,Thiruvananthapuram,Kerala,
osm-way-972577672,"Police Station, Vithura",RESPONSE_UNIT,8.668962425,77.08323291250001,Thiruvananthapuram,Kerala,
osm-way-972577671,"Fire and Rescue Station, Vithura",FIRE,8.669338224999999,77.0834859875,Thiruvananthapuram,Kerala,
osm-way-797825265,Taluk Hospital Vithura,MEDICAL,8.672952978571427,77.08318875714285,Thiruvananthapuram,Kerala,
osm-node-7733154029,VV Hospital,MEDICAL,8.6728306,77.0887668,Thiruvananthapuram,Kerala,
osm-node-7733154026,Athreya Research Center and Hospital,MEDICAL,8.6744122,77.0963442,Thiruvananthapuram,Kerala,
osm-node-7733154061,Dr. Chandrashekaran Memorial Hospital,MEDICAL,8.6418239,77.0201006,Thiruvananthapuram,Kerala,
osm-node-8555765416,"Janamaithri Police Station, Palode",RESPONSE_UNIT,8.7150248,77.0290657,Thiruvananthapuram,Kerala,
osm-way-933705332,"Community Health Centre,Palode",MEDICAL,8.71584666,77.02815884,Thiruvananthapuram,Kerala,
osm-way-931262605,Brothers Medical Centre And Diagnostic Services,MEDICAL,8.723824214285715,77.02840295714286,Thiruvananthapuram,Kerala,
osm-way-932633207,Medical Mission Speciality Hospital,MEDICAL,8.724871445454546,77.02843004545456,Thiruvananthapuram,Kerala,
osm-way-961022582,Family Health Centre Peringammala,MEDICAL,8.72918566,77.04622258,Thiruvananthapuram,Kerala,
osm-way-797943008,lms,MEDICAL,8.803572883333333,76.99021271666668,Kollam,Kerala,
osm-node-9132037226,Government Homeo Dispencery,MEDICAL,8.7866896,76.9405545,Kollam,Kerala,
osm-node-9132037238,Primary Health Centre Kummil,MEDICAL,8.789385,76.9403486,Kollam,Kerala,
osm-node-7477707003,Primary Health Centre Kummil,MEDICAL,8.7893605,76.9404018,Kollam,Kerala,
osm-node-9107164432,"Police Station,Pangode",RESPONSE_UNIT,8.76678,76.9642774,Thiruvananthapuram,Kerala,
osm-way-742758031,Community Health Centre Kallara,MEDICAL,8.743692588888889,76.93924387777777,Thiruvananthapuram,Kerala,
osm-node-7733014066,Nisha Hospital,MEDICAL,8.7506481,76.9377277,Thiruvananthapuram,Kerala,
osm-node-9001187690,Karett Medical Center Pvt Ltd,MEDICAL,8.7308167,76.8977904,Thiruvananthapuram,Kerala,
osm-node-9001187689,Pro Care Hospital,MEDICAL,8.7313916,76.8975153,Thiruvananthapuram,Kerala,
osm-way-867799578,Family Health Centre Anakudi,MEDICAL,8.7182939125,76.9156349875,Thiruvananthapuram,Kerala,
osm-way-954620623,"Fire and Rescue Station, Keezhayikkonam",FIRE,8.70436047142857,76.9046015142857,Thiruvananthapuram,Kerala,
osm-node-7130230413,Fire and Rescue Station Keezhayikonam,FIRE,8.7044955,76.9044895,Thiruvananthapuram,Kerala,
osm-way-742859365,Family Health Centre Vamanapuram,MEDICAL,8.715392228571428,76.89868811428572,Thiruvananthapuram,Kerala,
osm-node-7169502351,Homeo Hospital Vamanapuram,MEDICAL,8.7227857,76.8967419,Thiruvananthapuram,Kerala,
osm-node-7169502350,Ayurveda Hospital Vamanapuram,MEDICAL,8.7227309,76.8968006,Thiruvananthapuram,Kerala,
osm-way-756460737,Susrut Eye Foundation And Research Centre,MEDICAL,22.57537044,88.41754652,North Twenty Four Parganas,West Bengal,
osm-way-191911197,Calcutta Heart Clinic & Hospital,MEDICAL,22.575135383333333,88.41827161666667,North Twenty Four Parganas,West Bengal,
osm-way-191911481,National Institute of Homeopathy,MEDICAL,22.576151707692308,88.42000335384616,North Twenty Four Parganas,West Bengal,
osm-way-223460634,Rita Skin Foundation,MEDICAL,22.578011977777777,88.41869845555556,North Twenty Four Parganas,West Bengal,
osm-node-2461308616,Sector - V Police Station,RESPONSE_UNIT,22.5767793,88.4298724,North Twenty Four Parganas,West Bengal,
osm-node-7074329128,Rotary Narayana Nethralaya,MEDICAL,22.5776362,88.4335618,North Twenty Four Parganas,West Bengal,
